2019-01-07T14:33:12.429460Z chan=cowrie, saddr=4, sport=2, dport=1, daddr=1, url=0, hash=asdasd
2019-01-07T14:33:11.349699Z chan=cowrie, saddr=0, sport=5, dport=1, daddr=2, url=0, hash=asdasd
2019-01-07T14:33:08.877746Z chan=cowrie, saddr=0, sport=4, dport=1, daddr=2, url=0, hash=asdasd
2019-01-07T14:33:08.653770Z chan=cowrie, saddr=0, sport=0, dport=1, daddr=2, url=0, hash=asdasd
2019-01-07T14:33:08.418429Z chan=cowrie, saddr=6, sport=0, dport=1, daddr=4, url=0, hash=asdasd
2019-01-07T14:33:09.407813Z chan=cowrie, saddr=8, sport=1, dport=1, daddr=0, url=0, hash=asdasd
2019-01-07T14:33:07.421311Z chan=cowrie, saddr=6, sport=4, dport=1, daddr=1, url=0, hash=asdasd
2019-01-07T14:33:10.298000Z chan=cowrie, saddr=6, sport=8, dport=0, daddr=4, url=0, hash=asdasd
2019-01-07T14:33:08.821577Z chan=cowrie, saddr=9, sport=9, dport=0, daddr=9, url=0, hash=asdasd
2019-01-07T14:33:12.338907Z chan=cowrie, saddr=3, sport=2, dport=0, daddr=8, url=0, hash=asdasd
2019-01-07T14:33:06.940521Z chan=cowrie, saddr=4, sport=0, dport=0, daddr=5, url=0, hash=asdasd
2019-01-07T14:33:06.683607Z chan=cowrie, saddr=3, sport=1, dport=1, daddr=0, url=0, hash=asdasd
2019-01-07T14:33:06.776210Z chan=cowrie, saddr=9, sport=6, dport=0, daddr=9, url=0, hash=asdasd
2019-01-07T14:33:07.859307Z chan=cowrie, saddr=8, sport=2, dport=0, daddr=0, url=0, hash=asdasd
2019-01-07T14:33:12.311919Z chan=cowrie, saddr=8, sport=9, dport=0, daddr=3, url=0, hash=asdasd
2019-01-07T14:33:10.385755Z chan=cowrie, saddr=8, sport=9, dport=0, daddr=7, url=0, hash=asdasd
2019-01-07T14:33:08.964157Z chan=cowrie, saddr=8, sport=9, dport=0, daddr=9, url=0, hash=asdasd
2019-01-07T14:33:11.573500Z chan=cowrie, saddr=8, sport=0, dport=0, daddr=8, url=0, hash=asdasd
2019-01-07T14:33:10.685217Z chan=cowrie, saddr=9, sport=9, dport=0, daddr=5, url=0, hash=asdasd
2019-01-07T14:33:01.717289Z chan=cowrie, saddr=0, sport=9, dport=1, daddr=4, url=0, hash=asdasd
2019-01-07T14:33:00.853132Z chan=cowrie, saddr=0, sport=4, dport=1, daddr=1, url=0, hash=asdasd
2019-01-07T14:33:08.017734Z chan=cowrie, saddr=4, sport=7, dport=0, daddr=3, url=0, hash=asdasd
2019-01-07T14:32:59.980417Z chan=cowrie, saddr=9, sport=7, dport=1, daddr=4, url=0, hash=asdasd
2019-01-07T14:33:05.482449Z chan=cowrie, saddr=7, sport=2, dport=0, daddr=1, url=0, hash=asdasd
2019-01-07T14:33:07.844498Z chan=cowrie, saddr=3, sport=1, dport=0, daddr=8, url=0, hash=asdasd
2019-01-07T14:33:11.894740Z chan=cowrie, saddr=8, sport=2, dport=0, daddr=3, url=0, hash=asdasd
2019-01-07T14:33:10.263670Z chan=cowrie, saddr=8, sport=0, dport=0, daddr=3, url=0, hash=asdasd
2019-01-07T14:32:59.081065Z chan=cowrie, saddr=0, sport=1, dport=1, daddr=2, url=0, hash=asdasd
2019-01-07T14:32:59.154768Z chan=cowrie, saddr=0, sport=5, dport=1, daddr=8, url=0, hash=asdasd
2019-01-07T14:33:07.502802Z chan=cowrie, saddr=3, sport=4, dport=0, daddr=8, url=0, hash=asdasd
2019-01-07T14:33:06.095848Z chan=cowrie, saddr=8, sport=0, dport=0, daddr=9, url=0, hash=asdasd
2019-01-07T14:33:02.104398Z chan=cowrie, saddr=4, sport=0, dport=0, daddr=5, url=0, hash=asdasd
2019-01-07T14:33:07.836804Z chan=cowrie, saddr=3, sport=1, dport=0, daddr=8, url=0, hash=asdasd
2019-01-07T14:33:08.857412Z chan=cowrie, saddr=8, sport=5, dport=0, daddr=3, url=0, hash=asdasd
2019-01-07T14:33:03.064937Z chan=cowrie, saddr=8, sport=7, dport=0, daddr=0, url=0, hash=asdasd
2019-01-07T14:32:56.839302Z chan=cowrie, saddr=9, sport=7, dport=1, daddr=4, url=0, hash=asdasd
2019-01-07T14:32:56.027104Z chan=cowrie, saddr=0, sport=9, dport=1, daddr=1, url=0, hash=asdasd
2019-01-07T14:32:58.868606Z chan=cowrie, saddr=1, sport=3, dport=1, daddr=8, url=0, hash=asdasd
2019-01-07T14:33:09.418660Z chan=cowrie, saddr=3, sport=2, dport=0, daddr=5, url=0, hash=asdasd
2019-01-07T14:32:55.008963Z chan=cowrie, saddr=0, sport=6, dport=1, daddr=2, url=0, hash=asdasd
2019-01-07T14:32:54.734850Z chan=cowrie, saddr=8, sport=2, dport=0, daddr=4, url=0, hash=asdasd
2019-01-07T14:32:58.416202Z chan=cowrie, saddr=8, sport=0, dport=1, daddr=5, url=0, hash=asdasd
2019-01-07T14:32:54.144919Z chan=cowrie, saddr=0, sport=7, dport=1, daddr=2, url=0, hash=asdasd
2019-01-07T14:32:55.361282Z chan=cowrie, saddr=6, sport=9, dport=1, daddr=5, url=0, hash=asdasd
2019-01-07T14:33:03.505912Z chan=cowrie, saddr=6, sport=8, dport=0, daddr=4, url=0, hash=asdasd
2019-01-07T14:33:04.302432Z chan=cowrie, saddr=8, sport=7, dport=0, daddr=3, url=0, hash=asdasd
2019-01-07T14:33:00.642873Z chan=cowrie, saddr=4, sport=4, dport=0, daddr=8, url=0, hash=asdasd
2019-01-07T14:32:57.540837Z chan=cowrie, saddr=4, sport=0, dport=0, daddr=5, url=0, hash=asdasd
2019-01-07T14:32:55.210031Z chan=cowrie, saddr=0, sport=2, dport=1, daddr=5, url=0, hash=asdasd
2019-01-07T14:32:57.805496Z chan=cowrie, saddr=9, sport=4, dport=0, daddr=9, url=0, hash=asdasd
2019-01-07T14:32:52.311357Z chan=cowrie, saddr=6, sport=1, dport=1, daddr=2, url=0, hash=asdasd
2019-01-07T14:33:00.913843Z chan=cowrie, saddr=8, sport=0, dport=0, daddr=0, url=0, hash=asdasd
2019-01-07T14:33:00.901888Z chan=cowrie, saddr=8, sport=0, dport=0, daddr=0, url=0, hash=asdasd
2019-01-07T14:33:02.440332Z chan=cowrie, saddr=8, sport=7, dport=0, daddr=3, url=0, hash=asdasd
2019-01-07T14:33:08.102341Z chan=cowrie, saddr=8, sport=9, dport=0, daddr=8, url=0, hash=asdasd
2019-01-07T14:32:54.221142Z chan=cowrie, saddr=4, sport=4, dport=1, daddr=2, url=0, hash=asdasd
2019-01-07T14:33:00.645837Z chan=cowrie, saddr=9, sport=2, dport=0, daddr=8, url=0, hash=asdasd
2019-01-07T14:32:50.687355Z chan=cowrie, saddr=0, sport=5, dport=1, daddr=6, url=0, hash=asdasd
2019-01-07T14:32:59.518260Z chan=cowrie, saddr=3, sport=4, dport=0, daddr=8, url=0, hash=asdasd
2019-01-07T14:32:54.827897Z chan=cowrie, saddr=9, sport=1, dport=0, daddr=9, url=0, hash=asdasd
2019-01-07T14:32:52.199038Z chan=cowrie, saddr=0, sport=0, dport=1, daddr=4, url=0, hash=asdasd
2019-01-07T14:32:56.644821Z chan=cowrie, saddr=8, sport=7, dport=0, daddr=7, url=0, hash=asdasd
2019-01-07T14:33:06.334247Z chan=cowrie, saddr=8, sport=7, dport=0, daddr=8, url=0, hash=asdasd
2019-01-07T14:32:55.218834Z chan=cowrie, saddr=3, sport=9, dport=0, daddr=4, url=0, hash=asdasd
2019-01-07T14:32:58.611385Z chan=cowrie, saddr=8, sport=6, dport=0, daddr=5, url=0, hash=asdasd
2019-01-07T14:32:50.139560Z chan=cowrie, saddr=8, sport=3, dport=1, daddr=0, url=0, hash=asdasd
2019-01-07T14:32:50.886964Z chan=cowrie, saddr=0, sport=1, dport=1, daddr=0, url=0, hash=asdasd
2019-01-07T14:32:51.059220Z chan=cowrie, saddr=2, sport=5, dport=1, daddr=0, url=0, hash=asdasd
2019-01-07T14:33:02.310071Z chan=cowrie, saddr=8, sport=5, dport=0, daddr=8, url=0, hash=asdasd
2019-01-07T14:32:58.322847Z chan=cowrie, saddr=8, sport=4, dport=0, daddr=3, url=0, hash=asdasd
2019-01-07T14:32:47.294933Z chan=cowrie, saddr=0, sport=0, dport=1, daddr=1, url=0, hash=asdasd
2019-01-07T14:32:46.786396Z chan=cowrie, saddr=9, sport=5, dport=0, daddr=4, url=0, hash=asdasd
2019-01-07T14:32:52.139974Z chan=cowrie, saddr=4, sport=2, dport=0, daddr=0, url=0, hash=asdasd
