2019-02-08T16:41:23.456174Z chan=cowrie, saddr=2, sport=0, dport=1, daddr=7, url=0, hash=h
2019-02-08T16:41:24.400184Z chan=cowrie, saddr=2, sport=2, dport=1, daddr=0, url=0, hash=h
2019-02-08T16:41:21.951079Z chan=cowrie, saddr=9, sport=1, dport=1, daddr=2, url=0, hash=h
2019-02-08T16:41:20.976995Z chan=cowrie, saddr=2, sport=3, dport=1, daddr=7, url=0, hash=h
2019-02-08T16:41:25.129685Z chan=cowrie, saddr=3, sport=7, dport=0, daddr=3, url=0, hash=h
2019-02-08T16:41:25.332735Z chan=cowrie, saddr=1, sport=2, dport=1, daddr=3, url=0, hash=h
2019-02-08T16:41:18.998077Z chan=cowrie, saddr=2, sport=1, dport=1, daddr=5, url=0, hash=h
2019-02-08T16:41:18.813950Z chan=cowrie, saddr=2, sport=9, dport=1, daddr=3, url=0, hash=h
2019-02-08T16:41:17.408536Z chan=cowrie, saddr=2, sport=0, dport=1, daddr=3, url=0, hash=h
2019-02-08T16:41:25.439516Z chan=cowrie, saddr=4, sport=7, dport=0, daddr=1, url=0, hash=h
2019-02-08T16:41:21.975158Z chan=cowrie, saddr=4, sport=0, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:41:25.004024Z chan=cowrie, saddr=9, sport=8, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:41:13.237606Z chan=cowrie, saddr=9, sport=0, dport=1, daddr=9, url=0, hash=h
2019-02-08T16:41:19.820487Z chan=cowrie, saddr=7, sport=2, dport=0, daddr=3, url=0, hash=h
2019-02-08T16:41:18.506816Z chan=cowrie, saddr=4, sport=0, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:41:12.714636Z chan=cowrie, saddr=9, sport=2, dport=1, daddr=9, url=0, hash=h
2019-02-08T16:41:19.346374Z chan=cowrie, saddr=1, sport=1, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:41:16.279829Z chan=cowrie, saddr=4, sport=8, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:41:25.334008Z chan=cowrie, saddr=4, sport=2, dport=0, daddr=5, url=0, hash=h
2019-02-08T16:41:16.650713Z chan=cowrie, saddr=1, sport=9, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:41:06.364009Z chan=cowrie, saddr=2, sport=2, dport=0, daddr=3, url=0, hash=h
2019-02-08T16:41:15.803626Z chan=cowrie, saddr=1, sport=7, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:41:14.463563Z chan=cowrie, saddr=0, sport=1, dport=0, daddr=2, url=0, hash=h
2019-02-08T16:41:15.182145Z chan=cowrie, saddr=1, sport=5, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:41:10.116063Z chan=cowrie, saddr=4, sport=3, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:41:04.547888Z chan=cowrie, saddr=2, sport=3, dport=1, daddr=2, url=0, hash=h
2019-02-08T16:41:09.761058Z chan=cowrie, saddr=4, sport=1, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:41:04.786825Z chan=cowrie, saddr=5, sport=0, dport=1, daddr=7, url=0, hash=h
2019-02-08T16:41:09.144120Z chan=cowrie, saddr=4, sport=0, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:41:13.455860Z chan=cowrie, saddr=1, sport=7, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:41:12.802629Z chan=cowrie, saddr=1, sport=9, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:41:01.887211Z chan=cowrie, saddr=5, sport=8, dport=1, daddr=9, url=0, hash=h
2019-02-08T16:41:03.352140Z chan=cowrie, saddr=3, sport=7, dport=1, daddr=2, url=0, hash=h
2019-02-08T16:41:00.039587Z chan=cowrie, saddr=2, sport=5, dport=1, daddr=7, url=0, hash=h
2019-02-08T16:40:59.924791Z chan=cowrie, saddr=2, sport=2, dport=1, daddr=4, url=0, hash=h
2019-02-08T16:41:03.330834Z chan=cowrie, saddr=5, sport=2, dport=0, daddr=1, url=0, hash=h
2019-02-08T16:40:58.443094Z chan=cowrie, saddr=5, sport=2, dport=1, daddr=7, url=0, hash=h
2019-02-08T16:41:04.183190Z chan=cowrie, saddr=1, sport=7, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:55.118558Z chan=cowrie, saddr=2, sport=2, dport=1, daddr=7, url=0, hash=h
2019-02-08T16:41:02.360950Z chan=cowrie, saddr=1, sport=9, dport=0, daddr=0, url=0, hash=h
2019-02-08T16:40:52.140210Z chan=cowrie, saddr=5, sport=2, dport=1, daddr=3, url=0, hash=h
