2019-01-07T14:33:12.429460Z chan=cowrie, saddr=3057455548, sport=48428, dport=22, daddr=757317171, url=0, hash=asdasd
2019-01-07T14:33:11.349699Z chan=cowrie, saddr=96229172, sport=52178, dport=22, daddr=1442759242, url=0, hash=asdasd
2019-01-07T14:33:08.877746Z chan=cowrie, saddr=96229075, sport=34976, dport=22, daddr=1442760357, url=0, hash=asdasd
2019-01-07T14:33:08.653770Z chan=cowrie, saddr=96229075, sport=63924, dport=22, daddr=1442759242, url=0, hash=asdasd
2019-01-07T14:33:08.418429Z chan=cowrie, saddr=1844971884, sport=58374, dport=22, daddr=3259676017, url=0, hash=asdasd
2019-01-07T14:33:09.407813Z chan=cowrie, saddr=3271791409, sport=37514, dport=22, daddr=2988517911, url=0, hash=asdasd
2019-01-07T14:33:07.421311Z chan=cowrie, saddr=1844206421, sport=33834, dport=22, daddr=839349432, url=0, hash=asdasd
2019-01-07T14:33:10.298000Z chan=cowrie, saddr=1883385185, sport=26928, dport=23, daddr=3259491105, url=0, hash=asdasd
2019-01-07T14:33:08.821577Z chan=cowrie, saddr=2649103867, sport=40792, dport=23, daddr=3115805500, url=0, hash=asdasd
2019-01-07T14:33:12.338907Z chan=cowrie, saddr=1356013336, sport=50556, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:33:06.940521Z chan=cowrie, saddr=3082874906, sport=60717, dport=23, daddr=1741490229, url=0, hash=asdasd
2019-01-07T14:33:06.683607Z chan=cowrie, saddr=1534679505, sport=37265, dport=22, daddr=2916435693, url=0, hash=asdasd
2019-01-07T14:33:06.776210Z chan=cowrie, saddr=2649103867, sport=44191, dport=23, daddr=3104455075, url=0, hash=asdasd
2019-01-07T14:33:07.859307Z chan=cowrie, saddr=3468541156, sport=49370, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-01-07T14:33:12.311919Z chan=cowrie, saddr=3468541156, sport=40299, dport=23, daddr=2338550958, url=0, hash=asdasd
2019-01-07T14:33:10.385755Z chan=cowrie, saddr=3468541156, sport=42738, dport=23, daddr=3584661408, url=0, hash=asdasd
2019-01-07T14:33:08.964157Z chan=cowrie, saddr=3468541156, sport=40552, dport=23, daddr=3115180659, url=0, hash=asdasd
2019-01-07T14:33:11.573500Z chan=cowrie, saddr=3468541156, sport=60711, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:33:10.685217Z chan=cowrie, saddr=2649103867, sport=43168, dport=23, daddr=1761244501, url=0, hash=asdasd
2019-01-07T14:33:01.717289Z chan=cowrie, saddr=96229075, sport=41058, dport=22, daddr=3259676145, url=0, hash=asdasd
2019-01-07T14:33:00.853132Z chan=cowrie, saddr=96229075, sport=32572, dport=22, daddr=839348262, url=0, hash=asdasd
2019-01-07T14:33:08.017734Z chan=cowrie, saddr=3082875769, sport=56173, dport=23, daddr=2440312837, url=0, hash=asdasd
2019-01-07T14:32:59.980417Z chan=cowrie, saddr=2588066130, sport=55262, dport=22, daddr=3221476745, url=0, hash=asdasd
2019-01-07T14:33:05.482449Z chan=cowrie, saddr=737245245, sport=49982, dport=23, daddr=737225836, url=0, hash=asdasd
2019-01-07T14:33:07.844498Z chan=cowrie, saddr=1356013336, sport=39921, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:33:11.894740Z chan=cowrie, saddr=3468541156, sport=47881, dport=23, daddr=2338550958, url=0, hash=asdasd
2019-01-07T14:33:10.263670Z chan=cowrie, saddr=3468541156, sport=59293, dport=23, daddr=2338550958, url=0, hash=asdasd
2019-01-07T14:32:59.081065Z chan=cowrie, saddr=96229075, sport=36574, dport=22, daddr=1506781497, url=0, hash=asdasd
2019-01-07T14:32:59.154768Z chan=cowrie, saddr=96229174, sport=53106, dport=22, daddr=2667565868, url=0, hash=asdasd
2019-01-07T14:33:07.502802Z chan=cowrie, saddr=1356013336, sport=34211, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:33:06.095848Z chan=cowrie, saddr=3468541156, sport=60911, dport=23, daddr=3115180659, url=0, hash=asdasd
2019-01-07T14:33:02.104398Z chan=cowrie, saddr=3082874906, sport=60634, dport=23, daddr=1741490229, url=0, hash=asdasd
2019-01-07T14:33:07.836804Z chan=cowrie, saddr=1356013336, sport=38873, dport=23, daddr=2548832210, url=0, hash=asdasd
2019-01-07T14:33:08.857412Z chan=cowrie, saddr=3468541156, sport=53292, dport=23, daddr=2338550958, url=0, hash=asdasd
2019-01-07T14:33:03.064937Z chan=cowrie, saddr=3468541156, sport=56714, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-01-07T14:32:56.839302Z chan=cowrie, saddr=2588066130, sport=55257, dport=22, daddr=3221476730, url=0, hash=asdasd
2019-01-07T14:32:56.027104Z chan=cowrie, saddr=96229075, sport=42244, dport=22, daddr=839349432, url=0, hash=asdasd
2019-01-07T14:32:58.868606Z chan=cowrie, saddr=2388513858, sport=13862, dport=22, daddr=2667567061, url=0, hash=asdasd
2019-01-07T14:33:09.418660Z chan=cowrie, saddr=1532846646, sport=50303, dport=23, daddr=1729870093, url=0, hash=asdasd
2019-01-07T14:32:55.008963Z chan=cowrie, saddr=96229172, sport=46832, dport=22, daddr=1506781497, url=0, hash=asdasd
2019-01-07T14:32:54.734850Z chan=cowrie, saddr=3328327405, sport=50354, dport=23, daddr=3257042505, url=0, hash=asdasd
2019-01-07T14:32:58.416202Z chan=cowrie, saddr=3415091716, sport=59922, dport=22, daddr=1755119343, url=0, hash=asdasd
2019-01-07T14:32:54.144919Z chan=cowrie, saddr=96229169, sport=55278, dport=22, daddr=1506781497, url=0, hash=asdasd
2019-01-07T14:32:55.361282Z chan=cowrie, saddr=1844971879, sport=42456, dport=22, daddr=1755119343, url=0, hash=asdasd
2019-01-07T14:33:03.505912Z chan=cowrie, saddr=1883385185, sport=26834, dport=23, daddr=3259491105, url=0, hash=asdasd
2019-01-07T14:33:04.302432Z chan=cowrie, saddr=3468541156, sport=56421, dport=23, daddr=2338550958, url=0, hash=asdasd
2019-01-07T14:33:00.642873Z chan=cowrie, saddr=3165019384, sport=35101, dport=23, daddr=2548832210, url=0, hash=asdasd
