2019-02-01T09:16:10.697982Z chan=cowrie, saddr=1844971879, sport=58902, dport=22, daddr=1486266390, url=0, hash=asdasd
2019-02-01T09:16:09.901097Z chan=cowrie, saddr=96229173, sport=30724, dport=22, daddr=3117093447, url=0, hash=asdasd
2019-02-01T09:16:09.925484Z chan=cowrie, saddr=96229169, sport=31988, dport=22, daddr=3259243132, url=0, hash=asdasd
2019-02-01T09:16:09.712266Z chan=cowrie, saddr=771249819, sport=37082, dport=22, daddr=1741490229, url=0, hash=asdasd
2019-02-01T09:16:06.487204Z chan=cowrie, saddr=96229173, sport=31030, dport=22, daddr=531388725, url=0, hash=asdasd
2019-02-01T09:16:06.321753Z chan=cowrie, saddr=96229173, sport=56808, dport=22, daddr=1815968760, url=0, hash=asdasd
2019-02-01T09:16:10.618282Z chan=cowrie, saddr=92337221, sport=42142, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-02-01T09:16:05.569418Z chan=cowrie, saddr=96229175, sport=57750, dport=22, daddr=400901243, url=0, hash=asdasd
2019-02-01T09:16:04.374131Z chan=cowrie, saddr=96229174, sport=31062, dport=22, daddr=3259676145, url=0, hash=asdasd
2019-02-01T09:16:05.590208Z chan=cowrie, saddr=1507404402, sport=35898, dport=22, daddr=2667567061, url=0, hash=asdasd
2019-02-01T09:16:03.189317Z chan=cowrie, saddr=96229173, sport=51524, dport=22, daddr=839349432, url=0, hash=asdasd
2019-02-01T09:16:08.192340Z chan=cowrie, saddr=3328327405, sport=47250, dport=23, daddr=3259676145, url=0, hash=asdasd
2019-02-01T09:16:08.924529Z chan=cowrie, saddr=3328327405, sport=53372, dport=23, daddr=1348085522, url=0, hash=asdasd
2019-02-01T09:16:09.268752Z chan=cowrie, saddr=3328327405, sport=38196, dport=23, daddr=1348085522, url=0, hash=asdasd
2019-02-01T09:16:09.152781Z chan=cowrie, saddr=3328327405, sport=41295, dport=23, daddr=646213393, url=0, hash=asdasd
2019-02-01T09:16:08.541473Z chan=cowrie, saddr=3328327405, sport=39705, dport=23, daddr=2953477440, url=0, hash=asdasd
2019-02-01T09:16:07.937941Z chan=cowrie, saddr=3328327405, sport=59947, dport=23, daddr=3109993930, url=0, hash=asdasd
2019-02-01T09:16:09.205971Z chan=cowrie, saddr=3328327405, sport=36449, dport=23, daddr=1348085522, url=0, hash=asdasd
2019-02-01T09:16:10.881469Z chan=cowrie, saddr=2649118250, sport=39549, dport=23, daddr=1388487729, url=0, hash=asdasd
2019-02-01T09:16:08.784826Z chan=cowrie, saddr=3328327405, sport=56317, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:15:57.869283Z chan=cowrie, saddr=96229171, sport=63586, dport=22, daddr=1815968760, url=0, hash=asdasd
2019-02-01T09:16:07.153311Z chan=cowrie, saddr=3328327405, sport=57565, dport=23, daddr=1431866021, url=0, hash=asdasd
2019-02-01T09:16:06.559954Z chan=cowrie, saddr=3328327405, sport=34920, dport=23, daddr=3259676145, url=0, hash=asdasd
2019-02-01T09:15:57.511917Z chan=cowrie, saddr=96229174, sport=52048, dport=22, daddr=1442759242, url=0, hash=asdasd
2019-02-01T09:16:00.181948Z chan=cowrie, saddr=3272349746, sport=38353, dport=23, daddr=3272356540, url=0, hash=asdasd
2019-02-01T09:16:04.360403Z chan=cowrie, saddr=92337221, sport=42135, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-02-01T09:15:56.974211Z chan=cowrie, saddr=96229174, sport=51884, dport=22, daddr=3117093447, url=0, hash=asdasd
2019-02-01T09:16:03.632625Z chan=cowrie, saddr=3210815512, sport=43274, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:15:59.839120Z chan=cowrie, saddr=2680888115, sport=51076, dport=23, daddr=3259247755, url=0, hash=asdasd
2019-02-01T09:16:05.904932Z chan=cowrie, saddr=3328327405, sport=40278, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-02-01T09:15:56.483081Z chan=cowrie, saddr=96229169, sport=49778, dport=22, daddr=1442759242, url=0, hash=asdasd
2019-02-01T09:15:56.399462Z chan=cowrie, saddr=96229171, sport=44334, dport=22, daddr=1348085522, url=0, hash=asdasd
2019-02-01T09:16:06.973932Z chan=cowrie, saddr=3515693497, sport=40903, dport=23, daddr=1741161782, url=0, hash=asdasd
2019-02-01T09:16:04.585554Z chan=cowrie, saddr=3328327405, sport=38915, dport=23, daddr=2953477440, url=0, hash=asdasd
2019-02-01T09:15:55.473387Z chan=cowrie, saddr=96229175, sport=30038, dport=22, daddr=3259676145, url=0, hash=asdasd
2019-02-01T09:15:57.545637Z chan=cowrie, saddr=96229172, sport=55568, dport=22, daddr=1741490229, url=0, hash=asdasd
2019-02-01T09:15:57.366704Z chan=cowrie, saddr=1578822148, sport=50852, dport=22, daddr=3221476730, url=0, hash=asdasd
2019-02-01T09:16:03.847707Z chan=cowrie, saddr=3328327405, sport=48650, dport=23, daddr=1431866021, url=0, hash=asdasd
2019-02-01T09:16:03.636859Z chan=cowrie, saddr=3328327405, sport=59203, dport=23, daddr=1431866021, url=0, hash=asdasd
2019-02-01T09:15:54.672639Z chan=cowrie, saddr=96229173, sport=64942, dport=22, daddr=520330030, url=0, hash=asdasd
2019-02-01T09:16:05.684306Z chan=cowrie, saddr=3328327405, sport=54190, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:16:07.955562Z chan=cowrie, saddr=1890169649, sport=36675, dport=23, daddr=3259243132, url=0, hash=asdasd
2019-02-01T09:16:03.803267Z chan=cowrie, saddr=3328327405, sport=39865, dport=23, daddr=1431866021, url=0, hash=asdasd
2019-02-01T09:16:05.655459Z chan=cowrie, saddr=3328327405, sport=51844, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:16:05.633603Z chan=cowrie, saddr=3328327405, sport=40855, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:16:05.842266Z chan=cowrie, saddr=3328327405, sport=46898, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:16:05.298877Z chan=cowrie, saddr=3328327405, sport=36848, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:16:05.857252Z chan=cowrie, saddr=3328327405, sport=40641, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:16:01.848187Z chan=cowrie, saddr=3328327405, sport=56450, dport=23, daddr=1348085522, url=0, hash=asdasd
2019-02-01T09:16:03.170681Z chan=cowrie, saddr=1761093101, sport=57253, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:15:52.870760Z chan=cowrie, saddr=96229174, sport=55062, dport=22, daddr=1334724124, url=0, hash=asdasd
2019-02-01T09:16:00.212089Z chan=cowrie, saddr=3328327405, sport=33851, dport=23, daddr=1815968760, url=0, hash=asdasd
2019-02-01T09:16:01.069353Z chan=cowrie, saddr=3328327405, sport=40030, dport=23, daddr=3282664829, url=0, hash=asdasd
2019-02-01T09:16:01.478378Z chan=cowrie, saddr=3328327405, sport=51636, dport=23, daddr=1348085522, url=0, hash=asdasd
2019-02-01T09:16:00.718022Z chan=cowrie, saddr=3328327405, sport=54307, dport=23, daddr=2953477440, url=0, hash=asdasd
2019-02-01T09:16:07.728211Z chan=cowrie, saddr=3328327405, sport=51152, dport=23, daddr=1729870152, url=0, hash=asdasd
2019-02-01T09:15:52.079010Z chan=cowrie, saddr=96229171, sport=50606, dport=22, daddr=2988517911, url=0, hash=asdasd
2019-02-01T09:16:00.339617Z chan=cowrie, saddr=3328327405, sport=60424, dport=23, daddr=1431866021, url=0, hash=asdasd
2019-02-01T09:16:09.781934Z chan=cowrie, saddr=765916170, sport=57201, dport=23, daddr=3050811405, url=0, hash=asdasd
2019-02-01T09:15:56.319155Z chan=cowrie, saddr=92337221, sport=42129, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-02-01T09:15:59.871829Z chan=cowrie, saddr=2649118250, sport=48532, dport=23, daddr=646213393, url=0, hash=asdasd
2019-02-01T09:15:50.768663Z chan=cowrie, saddr=96229075, sport=59514, dport=22, daddr=2988517911, url=0, hash=asdasd
2019-02-01T09:15:51.565462Z chan=cowrie, saddr=2680888115, sport=55054, dport=23, daddr=520330030, url=0, hash=asdasd
2019-02-01T09:16:08.193172Z chan=cowrie, saddr=3202814795, sport=59601, dport=23, daddr=3259243132, url=0, hash=asdasd
2019-02-01T09:15:50.405726Z chan=cowrie, saddr=96229172, sport=46340, dport=22, daddr=3250564337, url=0, hash=asdasd
2019-02-01T09:15:57.931488Z chan=cowrie, saddr=3328327405, sport=43508, dport=23, daddr=1348085522, url=0, hash=asdasd
2019-02-01T09:15:56.997903Z chan=cowrie, saddr=3328327405, sport=36239, dport=23, daddr=2988517911, url=0, hash=asdasd
2019-02-01T09:15:49.515284Z chan=cowrie, saddr=2416068905, sport=60602, dport=22, daddr=2448375795, url=0, hash=asdasd
2019-02-01T09:15:58.170505Z chan=cowrie, saddr=2649118250, sport=50929, dport=23, daddr=646213393, url=0, hash=asdasd
2019-02-01T09:15:56.391067Z chan=cowrie, saddr=3328327405, sport=40021, dport=23, daddr=2953477440, url=0, hash=asdasd
2019-02-01T09:15:56.711836Z chan=cowrie, saddr=3328327405, sport=47357, dport=23, daddr=3117093447, url=0, hash=asdasd
2019-02-01T09:16:06.920106Z chan=cowrie, saddr=1729263734, sport=45368, dport=23, daddr=3117093447, url=0, hash=asdasd
2019-02-01T09:15:48.825925Z chan=cowrie, saddr=1844971879, sport=59728, dport=22, daddr=531388725, url=0, hash=asdasd
2019-02-01T09:15:56.293640Z chan=cowrie, saddr=3328327405, sport=43200, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:15:55.783812Z chan=cowrie, saddr=3328327405, sport=54167, dport=23, daddr=3225941109, url=0, hash=asdasd
2019-02-01T09:16:04.139954Z chan=cowrie, saddr=3328327405, sport=56711, dport=23, daddr=2692218288, url=0, hash=asdasd
2019-02-01T09:16:04.172759Z chan=cowrie, saddr=3328327405, sport=56583, dport=23, daddr=2692218288, url=0, hash=asdasd
2019-02-01T09:16:04.036891Z chan=cowrie, saddr=3328327405, sport=47004, dport=23, daddr=2692218288, url=0, hash=asdasd
2019-02-01T09:16:02.353822Z chan=cowrie, saddr=3328327405, sport=36284, dport=23, daddr=1741161782, url=0, hash=asdasd
2019-02-01T09:16:03.949161Z chan=cowrie, saddr=3328327405, sport=54060, dport=23, daddr=2692218288, url=0, hash=asdasd
2019-02-01T09:16:02.822286Z chan=cowrie, saddr=3328327405, sport=47815, dport=23, daddr=2692218288, url=0, hash=asdasd
2019-02-01T09:15:47.799759Z chan=cowrie, saddr=2680888115, sport=39864, dport=23, daddr=2584749374, url=0, hash=asdasd
2019-02-01T09:15:47.111837Z chan=cowrie, saddr=96229075, sport=31440, dport=22, daddr=3117093447, url=0, hash=asdasd
2019-02-01T09:15:56.162917Z chan=cowrie, saddr=3328327405, sport=56993, dport=23, daddr=646213393, url=0, hash=asdasd
